"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_ID","gene_ID2","X2","peak_cluster","order_y","tag","order2","segment","gene_ID.y"
1710.2402879400515,2.6157148546148488,0.558621429379272,4.682446317036879,2.834714389158187e-6,9.059837178682554e-4,"CRO.S005240.1","CRO.S005240.1","MLP-like protein","8",14,NA,NA,NA,NA
129.78940915061145,2.494322601629813,0.6478646469717496,3.8500674690134447,1.1808529191839208e-4,0.017229328643310324,"CRO_08G024050.1","CRO-08G024050.1","Orn/Lys/Arg decarboxylase, major domain containing protein","8",14,NA,NA,NA,NA
1841.1189322351415,2.2939657589317215,0.4151478281254041,5.525660026429866,3.282492240426526e-8,1.8359161461385584e-5,"CRO_04G033370.1","CRO-04G033370.1","myb domain protein","8",14,NA,NA,NA,NA
86.32576970028389,2.1257607903633358,0.5242129943016415,4.055147074702492,5.0102767918539896e-5,0.009007314571783937,"CRO_05G012520.1","CRO-05G012520.1","conserved hypothetical protein","8",14,NA,NA,NA,NA
721.3115456642296,2.1173177214545755,0.571697760842061,3.703561333414969,2.1259375153302368e-4,0.026423303624181677,"CRO_07G010880.3","CRO-07G010880.3","alpha/beta-Hydrolases superfamily protein","8",14,NA,NA,NA,NA
10061.50190257683,2.0681419650011237,0.3740203438926881,5.529490571225462,3.211620614481337e-8,1.8359161461385584e-5,"CRO_06G024620.2","CRO-06G024620.2","elicitor-activated gene 3-1","8",14,"THAS2",41,"Late Alkaloid","CRO-06G024620.2"
847.6228129026046,2.0112931264375735,0.5153873925357018,3.902488022731848,9.520895085677238e-5,0.014746401734623937,"CRO_04G023920.1","CRO-04G023920.1","K+ transporter","8",14,NA,NA,NA,NA
393.0130975152591,1.9098501400012238,0.41263981051191845,4.6283710183752635,3.68553293647601e-6,0.001091297142293301,"CRO_04G000920.1","CRO-04G000920.1","Glutaredoxin family protein","8",14,NA,NA,NA,NA
16840.365173707367,1.8962600277941315,0.4537920377477418,4.178698324469594,2.9318227041079316e-5,0.006128603949630698,"CRO_02G000920.1","CRO-02G000920.1","HXXXD-type acyl-transferase family protein","8",14,NA,NA,NA,NA
2029.4729486137123,1.8512743677491992,0.44209812477292687,4.187473920410909,2.8207642165319824e-5,0.006042136968071433,"CRO_06G033010.2","CRO-06G033010.2","Homeodomain-like superfamily protein","8",14,NA,NA,NA,NA
